industry,field,year,quarter,growth_rate
technology,AI/ML,2020,1,15.2
technology,AI/ML,2020,2,16.8
technology,AI/ML,2020,3,14.9
technology,AI/ML,2020,4,17.5
technology,AI/ML,2021,1,18.2
technology,AI/ML,2021,2,16.9
technology,AI/ML,2021,3,19.5
technology,AI/ML,2021,4,22.3
technology,AI/ML,2022,1,21.5
technology,AI/ML,2022,2,23.8
technology,blockchain,2020,1,8.5
technology,blockchain,2020,2,-2.3
technology,blockchain,2020,3,-5.8
technology,blockchain,2020,4,-3.2
technology,blockchain,2021,1,2.8
technology,blockchain,2021,2,5.4
technology,blockchain,2021,3,7.9
technology,blockchain,2021,4,12.5
technology,cloud_computing,2020,1,12.5
technology,cloud_computing,2020,2,13.8
technology,cloud_computing,2020,3,15.2
technology,cloud_computing,2020,4,16.7
technology,cloud_computing,2021,1,14.9
technology,cloud_computing,2021,2,13.5
technology,cloud_computing,2021,3,15.8
technology,cloud_computing,2021,4,16.2
medicine,telemedicine,2020,1,12.3
medicine,telemedicine,2020,2,45.8
medicine,telemedicine,2020,3,52.3
medicine,telemedicine,2020,4,48.7
medicine,telemedicine,2021,1,35.2
medicine,telemedicine,2021,2,22.8
medicine,telemedicine,2021,3,15.4
medicine,telemedicine,2021,4,12.8
medicine,biotechnology,2020,1,8.5
medicine,biotechnology,2020,2,9.2
medicine,biotechnology,2020,3,11.4
medicine,biotechnology,2020,4,12.8
medicine,biotechnology,2021,1,14.5
medicine,biotechnology,2021,2,15.2
medicine,biotechnology,2021,3,16.8
medicine,biotechnology,2021,4,18.2
agriculture,smart_farming,2020,1,5.2
agriculture,smart_farming,2020,2,4.8
agriculture,smart_farming,2020,3,6.1
agriculture,smart_farming,2020,4,7.3
agriculture,smart_farming,2021,1,8.5
agriculture,smart_farming,2021,2,9.2
agriculture,smart_farming,2021,3,8.8
agriculture,smart_farming,2021,4,9.5
agriculture,hydroponics,2020,1,6.5
agriculture,hydroponics,2020,2,7.2
agriculture,hydroponics,2020,3,6.8
agriculture,hydroponics,2020,4,8.3
agriculture,hydroponics,2021,1,9.5
agriculture,hydroponics,2021,2,10.2
agriculture,hydroponics,2021,3,11.4
agriculture,hydroponics,2021,4,12.5
transportation,ev,2020,1,15.5
transportation,ev,2020,2,14.8
transportation,ev,2020,3,16.9
transportation,ev,2020,4,18.1
transportation,ev,2021,1,19.5
transportation,ev,2021,2,22.8
transportation,ev,2021,3,25.9
transportation,ev,2021,4,28.1
transportation,autonomous,2020,1,8.5
transportation,autonomous,2020,2,7.8
transportation,autonomous,2020,3,-2.9
transportation,autonomous,2020,4,-1.1
transportation,autonomous,2021,1,3.5
transportation,autonomous,2021,2,5.8
transportation,autonomous,2021,3,8.9
transportation,autonomous,2021,4,11.1
technology,cybersecurity,2020,1,16.5
technology,cybersecurity,2020,2,18.8
technology,cybersecurity,2020,3,21.9
technology,cybersecurity,2020,4,23.1
technology,cybersecurity,2021,1,22.5
technology,cybersecurity,2021,2,21.8
technology,cybersecurity,2021,3,23.9
technology,cybersecurity,2021,4,25.1
medicine,digital_health,2020,1,11.5
medicine,digital_health,2020,2,25.8
medicine,digital_health,2020,3,28.9
medicine,digital_health,2020,4,24.1
medicine,digital_health,2021,1,18.5
medicine,digital_health,2021,2,15.8
medicine,digital_health,2021,3,14.9
medicine,digital_health,2021,4,13.1
technology,AI/ML,2022,3,24.2
technology,AI/ML,2022,4,25.8
technology,AI/ML,2023,1,26.5
technology,blockchain,2022,1,15.8
technology,blockchain,2022,2,14.2
technology,blockchain,2022,3,-8.5
technology,blockchain,2022,4,-12.3
technology,blockchain,2023,1,-5.8
medicine,telemedicine,2022,1,10.5
medicine,telemedicine,2022,2,8.8
medicine,telemedicine,2022,3,7.9
medicine,telemedicine,2022,4,8.1
medicine,telemedicine,2023,1,9.5
transportation,ev,2022,1,30.5
transportation,ev,2022,2,32.8
transportation,ev,2022,3,31.9
transportation,ev,2022,4,33.1
transportation,ev,2023,1,34.5
Mining,Matturalistic,2020,1,20
Mining,Matturalistic,2020,2,15
Mining,Matturalistic,2020,3,16.8
Mining,Matturalistic,2020,4,14.5
Manufacturing,Paints,2020,1,17
Manufacturing,Timbers,2020,2,23
Manufacturing,Paints,2020,3,24
Manufacturing,Cement,2020,4,23
Construction,Bridge_and_Roads,2021,1,23
Construction,Bridge_and_Roads,2021,2,20
Construction,Bridge_and_Roads,2021,3,19
Construction,Bridge_and_Roads,2021,4,19.5
Real Estate Activities,Brokers,2021,1,15
Real Estate Activities,Brokers,2021,2,17
Real Estate Activities,Brokers,2021,3,24
Real Estate Activities,Brokers,2021,4,29
Financial And Insurance,Insurance_offerers,2022,2,30
Wholesale and retail traders,smart_Traders,2022,1,5
Wholesale and retail traders,smart_Traders,2022,2,4.8
Wholesale and retail traders,smart_Traders,2022,3,8
Wholesale and retail traders,smart_Traders,2022,4,9
technology,AI/ML,2023,1,20
technology,AI/ML,2023,2,20.4
technology,AI/ML,2023,3,25
technology,AI/ML,2023,4,23
Medicine,Brain_surgeon,2023,1,18.2
Medicine,Brain_surgeon,2023,2,16.9
Medicine,Brain_surgeon,2023,3,19.5
Medicine,Brain_surgeon,2023,4,22.3
Transportation,Bus_Drivers,2023,1,21.5
Transportation,Bus_Drivers,2023,2,23.8
Transportation,Bus_Drivers,2023,3,25
Transportation,Bus_Drivers,2023,4,35
Mining,Quarying,2022,1,28
Mining,Quarying,2022,2,28.1
Mining,Quarying,2022,3,20
Mining,Quarying,2022,4,21
Fishing,Pods_expert,2020,1,23
Fishing,Pods_expert,2020,2,21.2
Fishing,Pods_expert,2020,3,24
Fishing,Pods_expert,2020,4,25.5
Manufacturing,Food_processing,2022,1,20
Manufacturing,Food_processing,2022,2,21.1
Manufacturing,Food_processing,2022,3,21.8
Manufacturing,Food_processing,2022,4,22.5
Water,Plumbers,2020,1,20
Water,Plumbers,2020,2,19
Water,Plumbers,2020,3,15
Water,Plumbers,2020,4,16
Wholesale and retail traders,smart_Traders,2023,1,10
Wholesale and retail traders,smart_Traders,2023,2,9
Wholesale and retail traders,smart_Traders,2023,3,8.5
Wholesale and retail traders,smart_Traders,2023,4,9.8
technology,blockchain,2020,1,16
technology,blockchain,2020,2,15.5
technology,blockchain,2020,3,-9
technology,blockchain,2020,4,12
Arts_Recreational,Content_creator,2020,1,4
Arts_Recreational,Content_creator,2020,2,6
Arts_Recreational,Content_creator,2020,3,10
Arts_Recreational,Content_creator,2020,4,21
Fishing,Pods_expert,2021,1,20
Fishing,Pods_expert,2021,2,19
Fishing,Pods_expert,2021,3,18
Fishing,Pods_expert,2021,4,17
Accomodation,Food_services,2022,1,-9.5
Accomodation,Food_services,2022,2,8
Accomodation,Food_services,2022,3,10.4
Accomodation,Food_services,2022,4,12
